"east.STATEFP","kdd","gdd","sm","kdd_sm"
"22",-5.01375598084877,0.0736476264427959,-10620.2971295734,58.3770237323909
"24",-16.8014825704691,0.831881693644596,12638.8517314309,197.608682987087
"55",-9.92298815632431,2.97675237864065,10618.5421840813,257.578239059064
"12",-3.28420423091577,-1.13554979246928,-6318.85064418328,48.2273619138729
"13",-4.97602825586132,0.63530764884046,1660.02885616542,-30.44040002784
"47",-8.80635475896441,2.25530319753984,4176.03414026765,5.80292158471051
"27",-11.1079974378104,3.94600758634816,2808.45847054685,167.015868731962
"19",-12.6989127071452,1.63601359428582,-9519.84730787978,188.408744728013
"29",-12.1843339250165,2.87511487902134,137.847994623462,45.8531925785407
"26",-8.25425410393601,1.82047149336089,12341.1352483018,49.352819830366
"09",NA,NA,NA,NA
"48",-3.04565208959753,1.44537605986717,11157.140070782,40.1159730655363
"51",-12.2885741063693,3.76863972904762,22645.8467837775,69.6755079653766
"36",-5.80648545132786,2.1254172278956,9630.66268432848,630.303280069282
"17",-16.4160225567765,2.49251304324657,-8791.06394106025,127.679641634128
"21",-10.8175979044445,2.20745978364898,-713.856175542119,8.28389814522859
"11",NA,NA,NA,NA
"39",-12.3647302031473,0.948149559282061,466.818827962987,79.062423924114
"05",-5.9499080069018,1.77215478994119,-11829.8769152246,-32.1130922540747
"23",NA,NA,NA,NA
"54",-5.90926274255748,0.159924620094211,12860.132881528,273.375228647407
"20",-3.66354537848849,0.533597348553408,13212.6589266065,65.0870426484152
"28",-6.98521128077258,2.8522349533984,-17062.1687584925,26.6045531320456
"33",NA,NA,NA,NA
"01",-6.49178611692996,1.90274528365105,-2072.66213893066,6.52892357396395
"46",-5.55724298446094,2.88697050514987,12012.3323632514,87.8119975628394
"42",-18.2021855356623,1.06885305489162,5145.03784939266,-38.054970016814
"40",-1.20765818983315,-0.670364890523541,8677.49022096342,32.7287616786393
"37",-10.9910503570466,1.3236051340635,1337.31858225342,43.184965711275
"25",NA,NA,NA,NA
"38",-4.881205511389,4.30048847187933,10936.9900590794,140.213030509027
"10",-32.75345924843,1.76081898201899,2401.26639655457,294.896749492414
"45",-7.06119039657891,1.25210111659945,6661.18448644034,22.2304831721013
"50",NA,NA,NA,NA
"44",NA,NA,NA,NA
"18",-14.6672843626412,1.39175711181983,-6970.93270181882,85.0702485456067
"34",-20.7919566460824,2.75291241403901,2562.19255329592,-28.88356331497
"31",-2.13809708175362,0.483035063149486,5522.29651738437,68.3729907691831
