"east.STATEFP","kdd","gdd","sm","kdd_sm"
"22",-0.103417719727842,NA,0.00363137640068156,3.53423004065108
"24",NA,619.375856675316,-0.00533703267055351,2.09399581561653
"55",NA,92.0599309382454,0.101185731241825,2.30554116096963
"12",-0.0237769284665242,127.196540477645,0.0352607308098088,1.93374519306075
"13",0.0678307517509372,590.932001325796,0.0423121201345488,NA
"47",NA,294.913667731123,0.0206369168343009,-1.05353350450271
"27",-0.0537919005186299,-40.5092703384199,0.0922404523091661,1.5026636887113
"19",-0.0122920187536061,-372.713173939264,0.0369205611354151,2.43739261862634
"29",-0.0528360403465587,NA,NA,NA
"26",0.0164955705048457,28.4755756431282,0.0380508400198186,NA
"09",NA,NA,NA,NA
"48",-0.0189872465897079,98.2169642021459,-0.0259211512377676,NA
"51",0.0236673670225802,637.355644499398,0.0683475733706858,-3.76879201973863
"36",0.294833840993782,509.547378489478,0.0328819548363881,8.77579015439615
"17",-0.0263028854619096,111.061290738827,0.0454843407793342,0.289891353645956
"21",0.026525695487009,419.557885916683,0.059556859654745,NA
"11",NA,NA,NA,NA
"39",-0.0948940680069727,61.7131382834115,0.0277961434591563,-1.32448046350851
"05",-0.0362524610481895,-198.953712319834,-0.0141885135930567,-0.694880901897168
"23",NA,NA,NA,NA
"54",0.0839213206247839,391.90274623893,-0.00474281790021561,4.73765212626872
"20",-0.137121175187007,-228.410622691868,0.101687029966077,0.655633196066756
"28",-0.0635575210638505,-58.2245215346019,-0.00914915429279347,1.2985336128714
"33",NA,NA,NA,NA
"01",NA,561.878595434774,NA,4.57928121848888
"46",-0.0970937840627704,12.2705800646241,0.0819933830803069,NA
"42",0.059544547955017,399.532491201763,0.0197450685582526,-5.57823976721647
"40",-0.0505022789573053,-71.6698868908472,-0.0248283451504045,1.21961694544469
"37",0.00531377802463061,523.508764615113,0.0543701842754276,0.401694786571198
"25",NA,NA,NA,NA
"38",0.0867806579659712,236.084639429353,0.0921712608855738,2.46857912449705
"10",-0.0898221421999852,261.122287275523,-0.0224339337325445,-5.75388089503175
"45",0.045911852303321,469.237520260194,0.0469384249982586,-0.858463841563401
"50",NA,NA,NA,NA
"44",NA,NA,NA,NA
"18",-0.0755644896779702,117.659044500852,0.032372035538851,-2.47492421998551
"34",-0.0224167660857133,330.83344749528,0.0427294432698751,-2.09626772086831
"31",-0.0722491995090639,-54.5056061909064,0.110900303549139,NA
